Election Type,Date,Region,Province or Territory,Constituency,Candidate,Gender,Occupation,Political Affiliation,Result,Votes
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Chatters, David Cameron",Man,Farmer,Reform Party of Canada,Elected,15350
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Courtoreille, Lawrence",Man,Administrator,Liberal Party of Canada,Defeated,8020
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Shields, Jack Wendele",Man,Politician,Progressive Conservative Party,Defeated,6248
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Thorn, Ian",Man,Union representative,New Democratic Party,Defeated,2489
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Scott, Harvey A.",Man,"Teacher, farmer",Green Party of Canada,Defeated,312
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Shapka, Roger",Man,Machinist,Natural Law Party of Canada,Defeated,195
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Grey, Deborah C.",Woman,Member of Parliament,Reform Party of Canada,Elected,17725
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Zacharko, Michael J.",Man,Farmer,Liberal Party of Canada,Defeated,7542
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Broda, Dave",Man,Realtor,Progressive Conservative Party,Defeated,3854
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Houle, Eugene",Man,Management consultant,New Democratic Party,Defeated,1050
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Germain, Guy C.",Man,Student,Natural Law Party of Canada,Defeated,294
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Glenn, B.H. Bud",Man,Business owner,Independent,Defeated,94
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"Silye, Jim",Man,Businessman,Reform Party of Canada,Elected,22600
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"Blair, Bob",Man,Professional engineer,Liberal Party of Canada,Defeated,15157
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"O'Neil, Sean",Man,Lawyer,Progressive Conservative Party,Defeated,7466
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"McCreary, Catherine",Woman,Lawyer,New Democratic Party,Defeated,2149
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"Hoff, Peter",Man,Arts administrator,National Party of Canada,Defeated,1743
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"Matiowsky, Rebecca",Woman,Student,Green Party of Canada,Defeated,484
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"Anderson, Annie",Woman,Video producer,Natural Law Party of Canada,Defeated,355
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"Jackman, Bruce",Man,Equipment operator,Canada Party,Defeated,92
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"Askin, Margaret Peggy",Woman,Telephone operator,Marxist-Leninist Party of Canada,Defeated,91
General,1993-10-25,PRAIRIE,Alberta,Calgary North,"Ablonczy, Diane",Woman,Lawyer,Reform Party of Canada,Elected,35508
General,1993-10-25,PRAIRIE,Alberta,Calgary North,"Maxim, James",Man,Landman,Liberal Party of Canada,Defeated,17899
General,1993-10-25,PRAIRIE,Alberta,Calgary North,"Johnson, Alan Arthur",Man,Member of Parliament,Progressive Conservative Party,Defeated,10424
General,1993-10-25,PRAIRIE,Alberta,Calgary North,"Garnier, Andrea",Woman,Archivist,New Democratic Party,Defeated,1592
General,1993-10-25,PRAIRIE,Alberta,Calgary North,"Schubert, Mike",Man,Environmentalist,National Party of Canada,Defeated,1361
General,1993-10-25,PRAIRIE,Alberta,Calgary North,"Alvarez-Toye, Michael",Man,Artist,Green Party of Canada,Defeated,343
General,1993-10-25,PRAIRIE,Alberta,Calgary North,"Hansen, Bruce",Man,Securities broker,Natural Law Party of Canada,Defeated,308
General,1993-10-25,PRAIRIE,Alberta,Calgary North,"McCallum, Robert",Man,Business administration consultant,Independent,Defeated,268
General,1993-10-25,PRAIRIE,Alberta,Calgary Northeast,"Hanger, Art",Man,Police officer,Reform Party of Canada,Elected,20602
General,1993-10-25,PRAIRIE,Alberta,Calgary Northeast,"MacDonald, Colin",Man,Lawyer,Liberal Party of Canada,Defeated,15011
General,1993-10-25,PRAIRIE,Alberta,Calgary Northeast,"Aftergood, David",Man,Small businessman,Progressive Conservative Party,Defeated,5229
General,1993-10-25,PRAIRIE,Alberta,Calgary Northeast,"Kindy, Alex",Man,Physician,Independent,Defeated,3136
General,1993-10-25,PRAIRIE,Alberta,Calgary Northeast,"Richmond, Ken",Man,Senior maintenance technician,New Democratic Party,Defeated,1310
General,1993-10-25,PRAIRIE,Alberta,Calgary Northeast,"McLeod, Ray",Man,"Freelance writer, photographer",National Party of Canada,Defeated,853
General,1993-10-25,PRAIRIE,Alberta,Calgary Northeast,"Varma, Neeraj",Man,Sales realtor,Natural Law Party of Canada,Defeated,175
General,1993-10-25,PRAIRIE,Alberta,Calgary Northeast,"Norcross, Norm",Man,Customs rater,Green Party of Canada,Defeated,134
General,1993-10-25,PRAIRIE,Alberta,Calgary Southeast,"Brown, Jan",Woman,"Business management,",Reform Party of Canada,Elected,33564
General,1993-10-25,PRAIRIE,Alberta,Calgary Southeast,"Richardson, Lee",Man,Member of Parliament,Progressive Conservative Party,Defeated,11287
General,1993-10-25,PRAIRIE,Alberta,Calgary Southeast,"Nguyen, Quoi",Man,Doctor of engineering,Liberal Party of Canada,Defeated,7642
General,1993-10-25,PRAIRIE,Alberta,Calgary Southeast,"Smith, Neale",Man,Student,New Democratic Party,Defeated,1888
General,1993-10-25,PRAIRIE,Alberta,Calgary Southeast,"Wandler, Jocelyne",Woman,Information analyst,National Party of Canada,Defeated,1111
General,1993-10-25,PRAIRIE,Alberta,Calgary Southeast,"Doram, Maureen",Woman,Sales manager,Natural Law Party of Canada,Defeated,443
General,1993-10-25,PRAIRIE,Alberta,Calgary Southeast,"Hope, Peter",Man,Retired,Canada Party,Defeated,148
General,1993-10-25,PRAIRIE,Alberta,Calgary Southwest,"Manning, Ernest Preston",Man,Management consultant,Reform Party of Canada,Elected,41630
General,1993-10-25,PRAIRIE,Alberta,Calgary Southwest,"Sparrow, Barbara Jane (Bobbie)",Woman,Businessperson,Progressive Conservative Party,Defeated,12642
General,1993-10-25,PRAIRIE,Alberta,Calgary Southwest,"Richards, Bill",Man,Businessman,Liberal Party of Canada,Defeated,11087
General,1993-10-25,PRAIRIE,Alberta,Calgary Southwest,"Rose, Catherine",Woman,Chemist,New Democratic Party,Defeated,1099
General,1993-10-25,PRAIRIE,Alberta,Calgary Southwest,"Russell, Lea",Woman,Dental hygienist,National Party of Canada,Defeated,910
General,1993-10-25,PRAIRIE,Alberta,Calgary Southwest,"Candel, Sol",Man,Businessman,Green Party of Canada,Defeated,301
General,1993-10-25,PRAIRIE,Alberta,Calgary Southwest,"Bugmann, Ida",Woman,"Artist, poet",Natural Law Party of Canada,Defeated,249
General,1993-10-25,PRAIRIE,Alberta,Calgary Southwest,"Gabriel, Miel S.R.",Man,"Businessman, civil engineer",Independent,Defeated,57
General,1993-10-25,PRAIRIE,Alberta,Calgary Southwest,"Rankin, Darrell T.",Man,Researcher,Independent,Defeated,28
General,1993-10-25,PRAIRIE,Alberta,Calgary West,"Harper, Stephen",Man,Economist,Reform Party of Canada,Elected,30209
General,1993-10-25,PRAIRIE,Alberta,Calgary West,"Gainer, Karen",Woman,Lawyer,Liberal Party of Canada,Defeated,15314
General,1993-10-25,PRAIRIE,Alberta,Calgary West,"Hawkes, Frederick James (Jim)",Man,Professor,Progressive Conservative Party,Defeated,9090
General,1993-10-25,PRAIRIE,Alberta,Calgary West,"Rogers, Rudy",Man,Accounting consultant,New Democratic Party,Defeated,1194
General,1993-10-25,PRAIRIE,Alberta,Calgary West,"McNeil, Kathleen",Woman,Student,National Party of Canada,Defeated,1068
General,1993-10-25,PRAIRIE,Alberta,Calgary West,"Haika, Frank",Man,Financial advisor,Natural Law Party of Canada,Defeated,483
General,1993-10-25,PRAIRIE,Alberta,Calgary West,"Francis, Don",Man,Educator,Green Party of Canada,Defeated,347
General,1993-10-25,PRAIRIE,Alberta,Calgary West,"Heather, Larry",Man,Receiver,Christian Heritage Party of Canada,Defeated,116
General,1993-10-25,PRAIRIE,Alberta,Crowfoot,"Ramsay, F.J. (Jack)",Man,Business consultant,Reform Party of Canada,Elected,23611
General,1993-10-25,PRAIRIE,Alberta,Crowfoot,"Heidecker, Brian",Man,Rancher,Progressive Conservative Party,Defeated,6431
General,1993-10-25,PRAIRIE,Alberta,Crowfoot,"Sandford, Darryl",Man,Barber,Liberal Party of Canada,Defeated,4506
General,1993-10-25,PRAIRIE,Alberta,Crowfoot,"Wilting, Berend J.",Man,Steam engineer,New Democratic Party,Defeated,860
General,1993-10-25,PRAIRIE,Alberta,Crowfoot,"Livingston, Alan J.",Man,Floor trader (Alberta Stock Exchange),Natural Law Party of Canada,Defeated,263
General,1993-10-25,PRAIRIE,Alberta,Crowfoot,"Ashmore, Anita",Woman,Businesswoman,No affiliation to a recognised party,Defeated,114
General,1993-10-25,PRAIRIE,Alberta,Edmonton East,"Bethel, Judith Claire (Judy)",Woman,,Liberal Party of Canada,Elected,11922
General,1993-10-25,PRAIRIE,Alberta,Edmonton East,"Robertson, Linda",Woman,Home economist,Reform Party of Canada,Defeated,11807
General,1993-10-25,PRAIRIE,Alberta,Edmonton East,"Harvey, Ross",Man,Researcher,New Democratic Party,Defeated,7976
General,1993-10-25,PRAIRIE,Alberta,Edmonton East,"Kovacs, Kevin",Man,Account representative,Progressive Conservative Party,Defeated,2672
General,1993-10-25,PRAIRIE,Alberta,Edmonton East,"Musson, Jim",Man,Writer,National Party of Canada,Defeated,1049
General,1993-10-25,PRAIRIE,Alberta,Edmonton East,"Labots, Cor",Man,Retired,Christian Heritage Party of Canada,Defeated,231
General,1993-10-25,PRAIRIE,Alberta,Edmonton East,"Johnsen, Paula",Woman,Educational consultant,Natural Law Party of Canada,Defeated,212
General,1993-10-25,PRAIRIE,Alberta,Edmonton East,"Eder, Ernst",Man,Restaurateur,Green Party of Canada,Defeated,171
General,1993-10-25,PRAIRIE,Alberta,Edmonton East,"Kiriaka, Peter",Man,Financial broker,Canada Party,Defeated,80
General,1993-10-25,PRAIRIE,Alberta,Edmonton East,"Jacques, James",Man,Sales,Independent,Defeated,51
General,1993-10-25,PRAIRIE,Alberta,Edmonton North,"Loney, Edison John Clayton",Man,Businessman,Liberal Party of Canada,Elected,19536
General,1993-10-25,PRAIRIE,Alberta,Edmonton North,"Mix, Ron",Man,Businessman,Reform Party of Canada,Defeated,19334
General,1993-10-25,PRAIRIE,Alberta,Edmonton North,"Panciuk, Mitch",Man,Management consultant,Progressive Conservative Party,Defeated,4592
General,1993-10-25,PRAIRIE,Alberta,Edmonton North,"Hall, Lori",Woman,Politician,New Democratic Party,Defeated,3427
General,1993-10-25,PRAIRIE,Alberta,Edmonton North,"Agoto, Ed",Man,Engineering specialist,National Party of Canada,Defeated,2174
General,1993-10-25,PRAIRIE,Alberta,Edmonton North,"Kinzel, Ria",Woman,Teacher,Natural Law Party of Canada,Defeated,256
General,1993-10-25,PRAIRIE,Alberta,Edmonton North,"Formoe, Tim",Man,Production worker,Canada Party,Defeated,103
General,1993-10-25,PRAIRIE,Alberta,Edmonton North,"VallÈe, Roch Pamphile",Man,Self-employed,Independent,Defeated,77
General,1993-10-25,PRAIRIE,Alberta,Edmonton Northwest,"McLellan, A. Anne",Woman,University professor,Liberal Party of Canada,Elected,12599
General,1993-10-25,PRAIRIE,Alberta,Edmonton Northwest,"Kayler, Richard",Man,Businessman,Reform Party of Canada,Defeated,12587
General,1993-10-25,PRAIRIE,Alberta,Edmonton Northwest,"Hurtig, Mel",Man,Author,National Party of Canada,Defeated,4507
General,1993-10-25,PRAIRIE,Alberta,Edmonton Northwest,"Dorin, Murray",Man,Member of Parliament,Progressive Conservative Party,Defeated,3485
General,1993-10-25,PRAIRIE,Alberta,Edmonton Northwest,"Michaels, Stephanie",Woman,Information officer,New Democratic Party,Defeated,1671
General,1993-10-25,PRAIRIE,Alberta,Edmonton Northwest,"Johnsen, Ric",Man,Education consultant,Natural Law Party of Canada,Defeated,186
General,1993-10-25,PRAIRIE,Alberta,Edmonton Northwest,"Swan, Roger",Man,Registered nurse,Green Party of Canada,Defeated,119
General,1993-10-25,PRAIRIE,Alberta,Edmonton Northwest,"Zeeper, Heide",Woman,Business owner,No affiliation to a recognised party,Defeated,41
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southeast,"Kilgour, David",Man,Member of Parliament,Liberal Party of Canada,Elected,23129
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southeast,"Royer, Aurell",Man,High school principal,Reform Party of Canada,Defeated,19910
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southeast,"Kurian, John",Man,Research scholar (Ph.D. in law),Progressive Conservative Party,Defeated,3203
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southeast,"Ross, Ken",Man,Unemployed exercise physiotherapist,New Democratic Party,Defeated,1988
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southeast,"Blond, Janet",Woman,Teacher,National Party of Canada,Defeated,1457
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southeast,"Shelford, Richard",Man,Businessman,Natural Law Party of Canada,Defeated,194
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southeast,"Schell, Ed",Man,youth worker,Green Party of Canada,Defeated,149
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southeast,"Gushnowski, Michael",Man,Self-employed,Canada Party,Defeated,78
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southwest,"McClelland, Ian G.",Man,Businessman,Reform Party of Canada,Elected,26582
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southwest,"Macfarlan, Betty",Woman,Small business owner,Liberal Party of Canada,Defeated,19570
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southwest,"Edwards, James (Jim) Stewart",Man,Broadcaster,Progressive Conservative Party,Defeated,9385
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southwest,"Glenn, Colleen",Woman,Consultant,New Democratic Party,Defeated,2148
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southwest,"Simpson, Pat",Man,Business owner,Natural Law Party of Canada,Defeated,447
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southwest,"Ashmore, Kevin",Man,Businessman,Independent,Defeated,269
General,1993-10-25,PRAIRIE,Alberta,Edmonton Southwest,"Morton, Peggy",Woman,Hospital worker,Marxist-Leninist Party of Canada,Defeated,81
General,1993-10-25,PRAIRIE,Alberta,Edmonton--Strathcona,"Hanrahan, Hugh F.",Man,Teacher,Reform Party of Canada,Elected,19541
General,1993-10-25,PRAIRIE,Alberta,Edmonton--Strathcona,"Peirce, Chris",Man,Lawyer,Liberal Party of Canada,Defeated,19137
General,1993-10-25,PRAIRIE,Alberta,Edmonton--Strathcona,"Thorkelson, Scott Jon",Man,Member of Parliament,Progressive Conservative Party,Defeated,5617
General,1993-10-25,PRAIRIE,Alberta,Edmonton--Strathcona,"Egan, Rita",Woman,Project co-ordinator,New Democratic Party,Defeated,2513
General,1993-10-25,PRAIRIE,Alberta,Edmonton--Strathcona,"Greenwood, Adrian",Man,Retired family counsellor,National Party of Canada,Defeated,2129
General,1993-10-25,PRAIRIE,Alberta,Edmonton--Strathcona,"Garfinkle, Harry",Man,Professor,Green Party of Canada,Defeated,286
General,1993-10-25,PRAIRIE,Alberta,Edmonton--Strathcona,"Shapka, Maury",Man,"Owner-manager, furniture business",Natural Law Party of Canada,Defeated,284
General,1993-10-25,PRAIRIE,Alberta,Edmonton--Strathcona,"Rankin, Naomi",Woman,Computer programmer,No affiliation to a recognised party,Defeated,92
General,1993-10-25,PRAIRIE,Alberta,Edmonton--Strathcona,"Johnson, Oran K.",Man,Financial advisor,Canada Party,Defeated,83
General,1993-10-25,PRAIRIE,Alberta,Elk Island,"Epp, Ken",Man,Instructor,Reform Party of Canada,Elected,25726
General,1993-10-25,PRAIRIE,Alberta,Elk Island,"Boisvert, Jean",Man,"Service manager, AGT",Liberal Party of Canada,Defeated,11589
General,1993-10-25,PRAIRIE,Alberta,Elk Island,"O'Kurley, Brian Alexander",Man,Educator,Progressive Conservative Party,Defeated,5714
General,1993-10-25,PRAIRIE,Alberta,Elk Island,"Jacobs, Steve",Man,Small businessman,New Democratic Party,Defeated,1296
General,1993-10-25,PRAIRIE,Alberta,Elk Island,"Steinhubl, James Keith",Man,Marketing and advertising consultant,National Party of Canada,Defeated,1222
General,1993-10-25,PRAIRIE,Alberta,Elk Island,"Hoff, Lorne",Man,Business consultant,Natural Law Party of Canada,Defeated,242
General,1993-10-25,PRAIRIE,Alberta,Elk Island,"Averes, Gerry",Man,Bus driver,Canada Party,Defeated,117
General,1993-10-25,PRAIRIE,Alberta,Lethbridge,"Speaker, Raymond Albert (Ray)",Man,Farmer,Reform Party of Canada,Elected,24530
General,1993-10-25,PRAIRIE,Alberta,Lethbridge,"McGee, John William",Man,Software designer,Liberal Party of Canada,Defeated,11870
General,1993-10-25,PRAIRIE,Alberta,Lethbridge,"Lien, Dean",Man,Farmer,Progressive Conservative Party,Defeated,7092
General,1993-10-25,PRAIRIE,Alberta,Lethbridge,"Tannant, Carson",Man,Businessman,National Party of Canada,Defeated,1586
General,1993-10-25,PRAIRIE,Alberta,Lethbridge,"Petherbridge, Doug",Man,Retired professor,New Democratic Party,Defeated,1283
General,1993-10-25,PRAIRIE,Alberta,Lethbridge,"Kinzel, Cliff",Man,Research technologist,Natural Law Party of Canada,Defeated,247
General,1993-10-25,PRAIRIE,Alberta,Macleod,"Hill, Grant",Man,"Physician, surgeon",Reform Party of Canada,Elected,23828
General,1993-10-25,PRAIRIE,Alberta,Macleod,"Hughes, Kenneth Gardner",Man,Businessman,Progressive Conservative Party,Defeated,6512
General,1993-10-25,PRAIRIE,Alberta,Macleod,"Whitney, Roy",Man,Chief,Liberal Party of Canada,Defeated,6196
General,1993-10-25,PRAIRIE,Alberta,Macleod,"Abildgaard, Susanne",Woman,Businesswoman,New Democratic Party,Defeated,712
General,1993-10-25,PRAIRIE,Alberta,Macleod,"Smith, Warren",Man,Student,Green Party of Canada,Defeated,213
General,1993-10-25,PRAIRIE,Alberta,Macleod,"Hansen, Gloria",Woman,Educator,Natural Law Party of Canada,Defeated,200
General,1993-10-25,PRAIRIE,Alberta,Medicine Hat,"Solberg, Monte",Man,Businessman,Reform Party of Canada,Elected,22439
General,1993-10-25,PRAIRIE,Alberta,Medicine Hat,"Ennis, Glenn",Man,"Instructor, administrator, college",Liberal Party of Canada,Defeated,8555
General,1993-10-25,PRAIRIE,Alberta,Medicine Hat,"Wyse, Bill",Man,Co-ordinator (senior citizens),Progressive Conservative Party,Defeated,6934
General,1993-10-25,PRAIRIE,Alberta,Medicine Hat,"Hunt, Allan",Man,Retired,New Democratic Party,Defeated,1832
General,1993-10-25,PRAIRIE,Alberta,Medicine Hat,"Ottrey, Ivor",Man,Minister of religion,Christian Heritage Party of Canada,Defeated,989
General,1993-10-25,PRAIRIE,Alberta,Medicine Hat,"Hopkins, Jack",Man,Farmer,Canada Party,Defeated,262
General,1993-10-25,PRAIRIE,Alberta,Peace River,"Penson, Charles Frederick (Charlie)",Man,Farmer,Reform Party of Canada,Elected,25761
General,1993-10-25,PRAIRIE,Alberta,Peace River,"Phillpotts, Joshua",Man,"Parish priest, insurance agent",Liberal Party of Canada,Defeated,6629
General,1993-10-25,PRAIRIE,Alberta,Peace River,"Tanaka, Alan Y.",Man,Senior administrator,Progressive Conservative Party,Defeated,6144
General,1993-10-25,PRAIRIE,Alberta,Peace River,"Gaboury, Jacquie",Woman,Social worker,New Democratic Party,Defeated,2344
General,1993-10-25,PRAIRIE,Alberta,Peace River,"Ridgeway, David",Man,Businessman,National Party of Canada,Defeated,1656
General,1993-10-25,PRAIRIE,Alberta,Peace River,"Shapka, Roni",Woman,Sales and manufacturing manager,Natural Law Party of Canada,Defeated,241
General,1993-10-25,PRAIRIE,Alberta,Red Deer,"Mills, Robert (Bob)",Man,Businessman,Reform Party of Canada,Elected,31876
General,1993-10-25,PRAIRIE,Alberta,Red Deer,"Fee, Douglas",Man,Member of Parliament,Progressive Conservative Party,Defeated,8006
General,1993-10-25,PRAIRIE,Alberta,Red Deer,"To, Dobie",Man,Restaurateur,Liberal Party of Canada,Defeated,6614
General,1993-10-25,PRAIRIE,Alberta,Red Deer,"Mc Laren, Karen",Woman,Pet groomer,New Democratic Party,Defeated,1313
General,1993-10-25,PRAIRIE,Alberta,Red Deer,"Hepburn, Joan",Woman,Office manager,National Party of Canada,Defeated,1074
General,1993-10-25,PRAIRIE,Alberta,Red Deer,"Arnold, Ken",Man,Computer consultant,Natural Law Party of Canada,Defeated,297
General,1993-10-25,PRAIRIE,Alberta,St. Albert,"Williams, John G.",Man,Accountant,Reform Party of Canada,Elected,24964
General,1993-10-25,PRAIRIE,Alberta,St. Albert,"Jeffery, Jack",Man,Chartered Accountant,Liberal Party of Canada,Defeated,13860
General,1993-10-25,PRAIRIE,Alberta,St. Albert,"Manegre, Jerry",Man,Manager,Progressive Conservative Party,Defeated,5884
General,1993-10-25,PRAIRIE,Alberta,St. Albert,"Powers, Steven",Man,Insurance adjuster,National Party of Canada,Defeated,2219
General,1993-10-25,PRAIRIE,Alberta,St. Albert,"Makhdoom, Zahid",Man,Social worker,New Democratic Party,Defeated,1435
General,1993-10-25,PRAIRIE,Alberta,St. Albert,"Penner, Rudy",Man,Electronics technologist,Christian Heritage Party of Canada,Defeated,294
General,1993-10-25,PRAIRIE,Alberta,St. Albert,"Day, Richard",Man,Video production technician,Natural Law Party of Canada,Defeated,257
General,1993-10-25,PRAIRIE,Alberta,St. Albert,"Vallee, Jennifer",Woman,Accountant,No affiliation to a recognised party,Defeated,90
General,1993-10-25,PRAIRIE,Alberta,Vegreville,"Benoit, Leon Earl",Man,Farmer,Reform Party of Canada,Elected,19732
General,1993-10-25,PRAIRIE,Alberta,Vegreville,"Lehr, Roger",Man,Businessman,Progressive Conservative Party,Defeated,8180
General,1993-10-25,PRAIRIE,Alberta,Vegreville,"Wieclaw, Ed",Man,Economic development,Liberal Party of Canada,Defeated,5610
General,1993-10-25,PRAIRIE,Alberta,Vegreville,"Zawalski, Terry",Woman,Manager,New Democratic Party,Defeated,1175
General,1993-10-25,PRAIRIE,Alberta,Vegreville,"Ziniewicz, Alex",Man,Retired,National Party of Canada,Defeated,562
General,1993-10-25,PRAIRIE,Alberta,Vegreville,"Parsons, Les",Man,Student recreation co-ordinator,Independent,Defeated,456
General,1993-10-25,PRAIRIE,Alberta,Vegreville,"Fisher, Katherine Emilia",Woman,Self-employed,Natural Law Party of Canada,Defeated,191
General,1993-10-25,PRAIRIE,Alberta,Vegreville,"Morrow, Valerie",Woman,School teacher,No affiliation to a recognised party,Defeated,141
General,1993-10-25,PRAIRIE,Alberta,Wetaskiwin,"Johnston, F. Dale",Man,Farmer,Reform Party of Canada,Elected,26210
General,1993-10-25,PRAIRIE,Alberta,Wetaskiwin,"Sirrs, Doug",Man,Lawyer,Liberal Party of Canada,Defeated,6914
General,1993-10-25,PRAIRIE,Alberta,Wetaskiwin,"Rhiness, Brian",Man,Agrologist,Progressive Conservative Party,Defeated,6124
General,1993-10-25,PRAIRIE,Alberta,Wetaskiwin,"Reid, Clifford",Man,Retired,New Democratic Party,Defeated,1475
General,1993-10-25,PRAIRIE,Alberta,Wetaskiwin,"Greene, David M.",Man,"Self-employed, sales",Canada Party,Defeated,335
General,1993-10-25,PRAIRIE,Alberta,Wetaskiwin,"Fritz, Randy",Man,"Business owner, consultant",Natural Law Party of Canada,Defeated,274
General,1993-10-25,PRAIRIE,Alberta,Wild Rose,"Thompson, Myron",Man,Retired teacher,Reform Party of Canada,Elected,30986
General,1993-10-25,PRAIRIE,Alberta,Wild Rose,"Feltham, Louise",Woman,Businesswoman,Progressive Conservative Party,Defeated,7542
General,1993-10-25,PRAIRIE,Alberta,Wild Rose,"Shellnutt, Roy",Man,Lawyer,Liberal Party of Canada,Defeated,6902
General,1993-10-25,PRAIRIE,Alberta,Wild Rose,"Wilson, Anne",Woman,Landscape gardener,New Democratic Party,Defeated,1067
General,1993-10-25,PRAIRIE,Alberta,Wild Rose,"Hughes, Stuart",Man,Student,National Party of Canada,Defeated,809
General,1993-10-25,PRAIRIE,Alberta,Wild Rose,"Leslie, Michael",Man,Waiter,Independent,Defeated,562
General,1993-10-25,PRAIRIE,Alberta,Wild Rose,"Lamont, Scott Chisholm",Man,Registered nurse,Green Party of Canada,Defeated,457
General,1993-10-25,PRAIRIE,Alberta,Wild Rose,"Doram, Dale",Man,Consultant,Natural Law Party of Canada,Defeated,204
General,1993-10-25,PRAIRIE,Alberta,Wild Rose,"Strang, Dave",Man,Self-employed welder,Independent,Defeated,80
General,1993-10-25,PRAIRIE,Alberta,Yellowhead,"Breitkreuz, Cliff N.",Man,"Agricultural producer, farmer",Reform Party of Canada,Elected,22790
General,1993-10-25,PRAIRIE,Alberta,Yellowhead,"Higgerty, John",Man,Crown prosecutor,Liberal Party of Canada,Defeated,8964
General,1993-10-25,PRAIRIE,Alberta,Yellowhead,"Stecyk, Marilyn",Woman,Political advisor,Progressive Conservative Party,Defeated,5799
General,1993-10-25,PRAIRIE,Alberta,Yellowhead,"Woytowich, Joe",Man,Public relations consultant,New Democratic Party,Defeated,1811
General,1993-10-25,PRAIRIE,Alberta,Yellowhead,"Mann, Alex S.",Man,Oilfield rig mechanic,National Party of Canada,Defeated,1147
General,1993-10-25,PRAIRIE,Alberta,Yellowhead,"Piers, Peter",Man,Farmer,Christian Heritage Party of Canada,Defeated,441
General,1993-10-25,PRAIRIE,Alberta,Yellowhead,"Michaelchuk, Dennis Ronald",Man,Research project manager,Natural Law Party of Canada,Defeated,251
General,1993-10-25,PRAIRIE,Alberta,Yellowhead,"Pederson, Douglas Bruce",Man,Computer programmer,Independent,Defeated,202
General,1993-10-25,BC,British Columbia,Burnaby--Kingsway,"Robinson, Svend Johannes",Man,Member of Parliament,New Democratic Party,Elected,18273
General,1993-10-25,BC,British Columbia,Burnaby--Kingsway,"Peck, Kwangyul",Man,Economist,Liberal Party of Canada,Defeated,14056
General,1993-10-25,BC,British Columbia,Burnaby--Kingsway,"Carpay, John",Man,Businessman,Reform Party of Canada,Defeated,13389
General,1993-10-25,BC,British Columbia,Burnaby--Kingsway,"Haines, Adele",Woman,Radiographer,Progressive Conservative Party,Defeated,5327
General,1993-10-25,BC,British Columbia,Burnaby--Kingsway,"Fontaine, Daniel",Man,Immigration officer,National Party of Canada,Defeated,1493
General,1993-10-25,BC,British Columbia,Burnaby--Kingsway,"Nigro, Carlo",Man,Investment advisor,Libertarian Party of Canada,Defeated,378
General,1993-10-25,BC,British Columbia,Burnaby--Kingsway,"Rubin, Deborah",Woman,Business administrator,Natural Law Party of Canada,Defeated,270
General,1993-10-25,BC,British Columbia,Burnaby--Kingsway,"Meindl, Poldi",Man,Consultant,Independent,Defeated,119
General,1993-10-25,BC,British Columbia,Burnaby--Kingsway,"Milkovich, Mike",Man,Brewery production manager,Party for the Commonwealth of Canada,Defeated,117
General,1993-10-25,BC,British Columbia,Burnaby--Kingsway,"Tylor, Byrun F.",Man,Author,Independent,Defeated,51
General,1993-10-25,BC,British Columbia,Burnaby--Kingsway,"Theriault, Joseph",Man,Residential councillor,Marxist-Leninist Party of Canada,Defeated,39
General,1993-10-25,BC,British Columbia,Capilano--Howe Sound,"Grubel, Herbert G. ( Herb)",Man,Professor of economics,Reform Party of Canada,Elected,19259
General,1993-10-25,BC,British Columbia,Capilano--Howe Sound,"Sojonky, Audrey",Woman,Businesswoman,Liberal Party of Canada,Defeated,14606
